,game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference
0,Tue,2020-12-22,2020.0,7:00p,Golden State Warriors,99.0,Brooklyn Nets,125.0,,0.0,2020/2021,Dec,22.0,12.0,,,0.0,
1,Tue,2020-12-22,2020.0,10:00p,Los Angeles Clippers,116.0,Los Angeles Lakers,109.0,,0.0,2020/2021,Dec,22.0,12.0,,,0.0,
2,Sun,2020-12-23,2021.0,2:00p,Oklahoma City Thunder,114.0,Houston Rockets,112.0,,3297.0,2020/2021,Mar,21.0,3.0,2020-12-23,covid,1.0,88.0
3,Wed,2020-12-23,2020.0,10:30p,Dallas Mavericks,102.0,Phoenix Suns,106.0,,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
4,Wed,2020-12-23,2020.0,10:00p,Utah Jazz,120.0,Portland Trail Blazers,100.0,,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
5,Wed,2020-12-23,2020.0,9:00p,Sacramento Kings,124.0,Denver Nuggets,122.0,OT,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
6,Wed,2020-12-23,2020.0,8:00p,Detroit Pistons,101.0,Minnesota Timberwolves,111.0,,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
7,Wed,2020-12-23,2020.0,8:00p,San Antonio Spurs,131.0,Memphis Grizzlies,119.0,,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
8,Wed,2020-12-23,2020.0,8:00p,Atlanta Hawks,124.0,Chicago Bulls,104.0,,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
9,Wed,2020-12-23,2020.0,7:30p,Milwaukee Bucks,121.0,Boston Celtics,122.0,,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
10,Wed,2020-12-23,2020.0,7:30p,New Orleans Pelicans,113.0,Toronto Raptors,99.0,,3800.0,2020/2021,Dec,23.0,12.0,,,0.0,
11,Wed,2020-12-23,2020.0,7:00p,Washington Wizards,107.0,Philadelphia 76ers,113.0,,0.0,2020/2021,Dec,23.0,12.0,,,0.0,
12,Wed,2020-12-23,2020.0,7:00p,Miami Heat,107.0,Orlando Magic,113.0,,3396.0,2020/2021,Dec,23.0,12.0,,,0.0,
