home,visitor,game_date,Schedule Type,League,Schedule
Brooklyn Nets,Golden State Warriors,2020-12-22,Planned,NBA,Planned
Los Angeles Lakers,Los Angeles Clippers,2020-12-22,Planned,NBA,Planned
Houston Rockets,Oklahoma City Thunder,2020-12-23,Planned,NBA,Planned
Phoenix Suns,Dallas Mavericks,2020-12-23,Planned,NBA,Planned
Portland Trail Blazers,Utah Jazz,2020-12-23,Planned,NBA,Planned
Denver Nuggets,Sacramento Kings,2020-12-23,Planned,NBA,Planned
Minnesota Timberwolves,Detroit Pistons,2020-12-23,Planned,NBA,Planned
Memphis Grizzlies,San Antonio Spurs,2020-12-23,Planned,NBA,Planned
Chicago Bulls,Atlanta Hawks,2020-12-23,Planned,NBA,Planned
Boston Celtics,Milwaukee Bucks,2020-12-23,Planned,NBA,Planned
Toronto Raptors,New Orleans Pelicans,2020-12-23,Planned,NBA,Planned
Philadelphia 76ers,Washington Wizards,2020-12-23,Planned,NBA,Planned
Orlando Magic,Miami Heat,2020-12-23,Planned,NBA,Planned
Indiana Pacers,New York Knicks,2020-12-23,Planned,NBA,Planned
Cleveland Cavaliers,Charlotte Hornets,2020-12-23,Planned,NBA,Planned
Denver Nuggets,Los Angeles Clippers,2020-12-25,Planned,NBA,Planned
Los Angeles Lakers,Dallas Mavericks,2020-12-25,Planned,NBA,Planned
Boston Celtics,Brooklyn Nets,2020-12-25,Planned,NBA,Planned
Milwaukee Bucks,Golden State Warriors,2020-12-25,Planned,NBA,Planned
Miami Heat,New Orleans Pelicans,2020-12-25,Planned,NBA,Planned
Memphis Grizzlies,Atlanta Hawks,2020-12-26,Planned,NBA,Planned
Charlotte Hornets,Oklahoma City Thunder,2020-12-26,Planned,NBA,Planned
Detroit Pistons,Cleveland Cavaliers,2020-12-26,Planned,NBA,Planned
Washington Wizards,Orlando Magic,2020-12-26,Planned,NBA,Planned
New York Knicks,Philadelphia 76ers,2020-12-26,Planned,NBA,Planned
Chicago Bulls,Indiana Pacers,2020-12-26,Planned,NBA,Planned
San Antonio Spurs,Toronto Raptors,2020-12-26,Planned,NBA,Planned
Utah Jazz,Minnesota Timberwolves,2020-12-26,Planned,NBA,Planned
Portland Trail Blazers,Houston Rockets,2020-12-26,Planned,NBA,Planned
Sacramento Kings,Phoenix Suns,2020-12-26,Planned,NBA,Planned
Los Angeles Lakers,Minnesota Timberwolves,2020-12-27,Planned,NBA,Planned
Sacramento Kings,Phoenix Suns,2020-12-27,Planned,NBA,Planned
Chicago Bulls,Golden State Warriors,2020-12-27,Planned,NBA,Planned
New York Knicks,Milwaukee Bucks,2020-12-27,Planned,NBA,Planned
Indiana Pacers,Boston Celtics,2020-12-27,Planned,NBA,Planned
Charlotte Hornets,Brooklyn Nets,2020-12-27,Planned,NBA,Planned
Washington Wizards,Orlando Magic,2020-12-27,Planned,NBA,Planned
New Orleans Pelicans,San Antonio Spurs,2020-12-27,Planned,NBA,Planned
Cleveland Cavaliers,Philadelphia 76ers,2020-12-27,Planned,NBA,Planned
Los Angeles Clippers,Dallas Mavericks,2020-12-27,Planned,NBA,Planned
Brooklyn Nets,Memphis Grizzlies,2020-12-28,Planned,NBA,Planned
Atlanta Hawks,Detroit Pistons,2020-12-28,Planned,NBA,Planned
Oklahoma City Thunder,Utah Jazz,2020-12-28,Planned,NBA,Planned
Denver Nuggets,Houston Rockets,2020-12-28,Planned,NBA,Planned
Los Angeles Lakers,Portland Trail Blazers,2020-12-28,Planned,NBA,Planned
Los Angeles Clippers,Minnesota Timberwolves,2020-12-29,Planned,NBA,Planned
Sacramento Kings,Denver Nuggets,2020-12-29,Planned,NBA,Planned
Oklahoma City Thunder,Orlando Magic,2020-12-29,Planned,NBA,Planned
Miami Heat,Milwaukee Bucks,2020-12-29,Planned,NBA,Planned
Phoenix Suns,New Orleans Pelicans,2020-12-29,Planned,NBA,Planned
Washington Wizards,Chicago Bulls,2020-12-29,Planned,NBA,Planned
Indiana Pacers,Boston Celtics,2020-12-29,Planned,NBA,Planned
Detroit Pistons,Golden State Warriors,2020-12-29,Planned,NBA,Planned
Cleveland Cavaliers,New York Knicks,2020-12-29,Planned,NBA,Planned
Philadelphia 76ers,Toronto Raptors,2020-12-29,Planned,NBA,Planned
San Antonio Spurs,Los Angeles Lakers,2020-12-30,Planned,NBA,Planned
Dallas Mavericks,Charlotte Hornets,2020-12-30,Planned,NBA,Planned
Los Angeles Clippers,Portland Trail Blazers,2020-12-30,Planned,NBA,Planned
Brooklyn Nets,Atlanta Hawks,2020-12-30,Planned,NBA,Planned
Miami Heat,Milwaukee Bucks,2020-12-30,Planned,NBA,Planned
Boston Celtics,Memphis Grizzlies,2020-12-30,Planned,NBA,Planned
Indiana Pacers,Cleveland Cavaliers,2020-12-31,Planned,NBA,Planned
Washington Wizards,Chicago Bulls,2020-12-31,Planned,NBA,Planned
Orlando Magic,Philadelphia 76ers,2020-12-31,Planned,NBA,Planned
Houston Rockets,Sacramento Kings,2020-12-31,Planned,NBA,Planned
Toronto Raptors,New York Knicks,2020-12-31,Planned,NBA,Planned
Oklahoma City Thunder,New Orleans Pelicans,2020-12-31,Planned,NBA,Planned
Utah Jazz,Phoenix Suns,2020-12-31,Planned,NBA,Planned
Denver Nuggets,Phoenix Suns,2021-01-01,Planned,NBA,Planned
San Antonio Spurs,Los Angeles Lakers,2021-01-01,Planned,NBA,Planned
Golden State Warriors,Portland Trail Blazers,2021-01-01,Planned,NBA,Planned
Minnesota Timberwolves,Washington Wizards,2021-01-01,Planned,NBA,Planned
Utah Jazz,Los Angeles Clippers,2021-01-01,Planned,NBA,Planned
Brooklyn Nets,Atlanta Hawks,2021-01-01,Planned,NBA,Planned
Dallas Mavericks,Miami Heat,2021-01-01,Planned,NBA,Planned
Milwaukee Bucks,Chicago Bulls,2021-01-01,Planned,NBA,Planned
Detroit Pistons,Boston Celtics,2021-01-01,Planned,NBA,Planned
Charlotte Hornets,Memphis Grizzlies,2021-01-01,Planned,NBA,Planned
Houston Rockets,Sacramento Kings,2021-01-02,Planned,NBA,Planned
Indiana Pacers,New York Knicks,2021-01-02,Planned,NBA,Planned
Orlando Magic,Oklahoma City Thunder,2021-01-02,Planned,NBA,Planned
Philadelphia 76ers,Charlotte Hornets,2021-01-02,Planned,NBA,Planned
Atlanta Hawks,Cleveland Cavaliers,2021-01-02,Planned,NBA,Planned
New Orleans Pelicans,Toronto Raptors,2021-01-02,Planned,NBA,Planned
Golden State Warriors,Portland Trail Blazers,2021-01-03,Planned,NBA,Planned
Phoenix Suns,Los Angeles Clippers,2021-01-03,Planned,NBA,Planned
Chicago Bulls,Dallas Mavericks,2021-01-03,Planned,NBA,Planned
Memphis Grizzlies,Los Angeles Lakers,2021-01-03,Planned,NBA,Planned
Minnesota Timberwolves,Denver Nuggets,2021-01-03,Planned,NBA,Planned
Brooklyn Nets,Washington Wizards,2021-01-03,Planned,NBA,Planned
Detroit Pistons,Boston Celtics,2021-01-03,Planned,NBA,Planned
San Antonio Spurs,Utah Jazz,2021-01-03,Planned,NBA,Planned
Milwaukee Bucks,Detroit Pistons,2021-01-04,Planned,NBA,Planned
Golden State Warriors,Sacramento Kings,2021-01-04,Planned,NBA,Planned
New Orleans Pelicans,Indiana Pacers,2021-01-04,Planned,NBA,Planned
Houston Rockets,Dallas Mavericks,2021-01-04,Planned,NBA,Planned
Philadelphia 76ers,Charlotte Hornets,2021-01-04,Planned,NBA,Planned
Miami Heat,Oklahoma City Thunder,2021-01-04,Planned,NBA,Planned
Atlanta Hawks,New York Knicks,2021-01-04,Planned,NBA,Planned
Toronto Raptors,Boston Celtics,2021-01-04,Planned,NBA,Planned
Orlando Magic,Cleveland Cavaliers,2021-01-04,Planned,NBA,Planned
Brooklyn Nets,Utah Jazz,2021-01-05,Planned,NBA,Planned
Memphis Grizzlies,Los Angeles Lakers,2021-01-05,Planned,NBA,Planned
Denver Nuggets,Minnesota Timberwolves,2021-01-05,Planned,NBA,Planned
Los Angeles Clippers,San Antonio Spurs,2021-01-05,Planned,NBA,Planned
Portland Trail Blazers,Chicago Bulls,2021-01-05,Planned,NBA,Planned
New Orleans Pelicans,Oklahoma City Thunder,2021-01-06,Planned,NBA,Planned
Sacramento Kings,Chicago Bulls,2021-01-06,Planned,NBA,Planned
Golden State Warriors,Los Angeles Clippers,2021-01-06,Planned,NBA,Planned
Phoenix Suns,Toronto Raptors,2021-01-06,Planned,NBA,Planned
Milwaukee Bucks,Detroit Pistons,2021-01-06,Planned,NBA,Planned
Miami Heat,Boston Celtics,2021-01-06,Planned,NBA,Planned
Atlanta Hawks,Charlotte Hornets,2021-01-06,Planned,NBA,Planned
Philadelphia 76ers,Washington Wizards,2021-01-06,Planned,NBA,Planned
Orlando Magic,Cleveland Cavaliers,2021-01-06,Planned,NBA,Planned
Indiana Pacers,Houston Rockets,2021-01-06,Planned,NBA,Planned
New York Knicks,Utah Jazz,2021-01-06,Planned,NBA,Planned
Brooklyn Nets,Philadelphia 76ers,2021-01-07,Planned,NBA,Planned
Memphis Grizzlies,Cleveland Cavaliers,2021-01-07,Planned,NBA,Planned
Denver Nuggets,Dallas Mavericks,2021-01-07,Planned,NBA,Planned
Los Angeles Lakers,San Antonio Spurs,2021-01-07,Planned,NBA,Planned
Portland Trail Blazers,Minnesota Timberwolves,2021-01-07,Planned,NBA,Planned
Los Angeles Lakers,Chicago Bulls,2021-01-08,Planned,NBA,Planned
Golden State Warriors,Los Angeles Clippers,2021-01-08,Planned,NBA,Planned
Milwaukee Bucks,Utah Jazz,2021-01-08,Planned,NBA,Planned
Memphis Grizzlies,Brooklyn Nets,2021-01-08,Planned,NBA,Planned
Sacramento Kings,Toronto Raptors,2021-01-08,Planned,NBA,Planned
New York Knicks,Oklahoma City Thunder,2021-01-08,Planned,NBA,Planned
New Orleans Pelicans,Charlotte Hornets,2021-01-08,Planned,NBA,Planned
Boston Celtics,Washington Wizards,2021-01-08,Planned,NBA,Planned
Detroit Pistons,Phoenix Suns,2021-01-08,Planned,NBA,Planned
Houston Rockets,Orlando Magic,2021-01-08,Planned,NBA,Planned
Dallas Mavericks,Orlando Magic,2021-01-09,Planned,NBA,Planned
Minnesota Timberwolves,San Antonio Spurs,2021-01-09,Planned,NBA,Planned
Milwaukee Bucks,Cleveland Cavaliers,2021-01-09,Planned,NBA,Planned
Sacramento Kings,Portland Trail Blazers,2021-01-09,Planned,NBA,Planned
Indiana Pacers,Phoenix Suns,2021-01-09,Planned,NBA,Planned
Charlotte Hornets,Atlanta Hawks,2021-01-09,Planned,NBA,Planned
Philadelphia 76ers,Denver Nuggets,2021-01-09,Planned,NBA,Planned
Washington Wizards,Miami Heat,2021-01-09,Planned,NBA,Planned
Detroit Pistons,Utah Jazz,2021-01-10,Planned,NBA,Planned
Los Angeles Clippers,Chicago Bulls,2021-01-10,Planned,NBA,Planned
Brooklyn Nets,Oklahoma City Thunder,2021-01-10,Planned,NBA,Planned
New York Knicks,Denver Nuggets,2021-01-10,Planned,NBA,Planned
Houston Rockets,Los Angeles Lakers,2021-01-10,Planned,NBA,Planned
Minnesota Timberwolves,San Antonio Spurs,2021-01-10,Planned,NBA,Planned
Golden State Warriors,Toronto Raptors,2021-01-10,Planned,NBA,Planned
Boston Celtics,Miami Heat,2021-01-10,Planned,NBA,Planned
Dallas Mavericks,New Orleans Pelicans,2021-01-11,Planned,NBA,Planned
Sacramento Kings,Indiana Pacers,2021-01-11,Planned,NBA,Planned
Portland Trail Blazers,Toronto Raptors,2021-01-11,Planned,NBA,Planned
Orlando Magic,Milwaukee Bucks,2021-01-11,Planned,NBA,Planned
Washington Wizards,Phoenix Suns,2021-01-11,Planned,NBA,Planned
Cleveland Cavaliers,Memphis Grizzlies,2021-01-11,Planned,NBA,Planned
Charlotte Hornets,New York Knicks,2021-01-11,Planned,NBA,Planned
Atlanta Hawks,Philadelphia 76ers,2021-01-11,Planned,NBA,Planned
Houston Rockets,Los Angeles Lakers,2021-01-12,Planned,NBA,Planned
Chicago Bulls,Boston Celtics,2021-01-12,Planned,NBA,Planned
Cleveland Cavaliers,Utah Jazz,2021-01-12,Planned,NBA,Planned
Philadelphia 76ers,Miami Heat,2021-01-12,Planned,NBA,Planned
Brooklyn Nets,Denver Nuggets,2021-01-12,Planned,NBA,Planned
Golden State Warriors,Indiana Pacers,2021-01-12,Planned,NBA,Planned
Oklahoma City Thunder,San Antonio Spurs,2021-01-12,Planned,NBA,Planned
New York Knicks,Brooklyn Nets,2021-01-13,Planned,NBA,Planned
Boston Celtics,Orlando Magic,2021-01-13,Planned,NBA,Planned
Washington Wizards,Utah Jazz,2021-01-13,Planned,NBA,Planned
Detroit Pistons,Milwaukee Bucks,2021-01-13,Planned,NBA,Planned
Charlotte Hornets,Dallas Mavericks,2021-01-13,Planned,NBA,Planned
Phoenix Suns,Atlanta Hawks,2021-01-13,Planned,NBA,Planned
Sacramento Kings,Portland Trail Blazers,2021-01-13,Planned,NBA,Planned
Los Angeles Clippers,New Orleans Pelicans,2021-01-13,Planned,NBA,Planned
Oklahoma City Thunder,Los Angeles Lakers,2021-01-13,Planned,NBA,Planned
Minnesota Timberwolves,Memphis Grizzlies,2021-01-13,Planned,NBA,Planned
Denver Nuggets,Golden State Warriors,2021-01-14,Planned,NBA,Planned
San Antonio Spurs,Houston Rockets,2021-01-14,Planned,NBA,Planned
Philadelphia 76ers,Miami Heat,2021-01-14,Planned,NBA,Planned
Toronto Raptors,Charlotte Hornets,2021-01-14,Planned,NBA,Planned
Portland Trail Blazers,Indiana Pacers,2021-01-14,Planned,NBA,Planned
Detroit Pistons,Washington Wizards,2021-01-15,Planned,NBA,Planned
Minnesota Timberwolves,Memphis Grizzlies,2021-01-15,Planned,NBA,Planned
Phoenix Suns,Golden State Warriors,2021-01-15,Planned,NBA,Planned
Oklahoma City Thunder,Chicago Bulls,2021-01-15,Planned,NBA,Planned
Sacramento Kings,Los Angeles Clippers,2021-01-15,Planned,NBA,Planned
Los Angeles Lakers,New Orleans Pelicans,2021-01-15,Planned,NBA,Planned
Utah Jazz,Atlanta Hawks,2021-01-15,Planned,NBA,Planned
Milwaukee Bucks,Dallas Mavericks,2021-01-15,Planned,NBA,Planned
Boston Celtics,Orlando Magic,2021-01-15,Planned,NBA,Planned
Cleveland Cavaliers,New York Knicks,2021-01-15,Planned,NBA,Planned
Phoenix Suns,Indiana Pacers,2021-01-16,Planned,NBA,Planned
Portland Trail Blazers,Atlanta Hawks,2021-01-16,Planned,NBA,Planned
San Antonio Spurs,Houston Rockets,2021-01-16,Planned,NBA,Planned
Brooklyn Nets,Orlando Magic,2021-01-16,Planned,NBA,Planned
Toronto Raptors,Charlotte Hornets,2021-01-16,Planned,NBA,Planned
Memphis Grizzlies,Philadelphia 76ers,2021-01-16,Planned,NBA,Planned
Miami Heat,Detroit Pistons,2021-01-16,Planned,NBA,Planned
Sacramento Kings,New Orleans Pelicans,2021-01-17,Planned,NBA,Planned
Oklahoma City Thunder,Philadelphia 76ers,2021-01-17,Planned,NBA,Planned
Washington Wizards,Cleveland Cavaliers,2021-01-17,Planned,NBA,Planned
Boston Celtics,New York Knicks,2021-01-17,Planned,NBA,Planned
Denver Nuggets,Utah Jazz,2021-01-17,Planned,NBA,Planned
Los Angeles Clippers,Indiana Pacers,2021-01-17,Planned,NBA,Planned
Dallas Mavericks,Chicago Bulls,2021-01-17,Planned,NBA,Planned
New York Knicks,Orlando Magic,2021-01-18,Planned,NBA,Planned
Los Angeles Lakers,Golden State Warriors,2021-01-18,Planned,NBA,Planned
Miami Heat,Detroit Pistons,2021-01-18,Planned,NBA,Planned
Chicago Bulls,Houston Rockets,2021-01-18,Planned,NBA,Planned
Toronto Raptors,Dallas Mavericks,2021-01-18,Planned,NBA,Planned
Brooklyn Nets,Milwaukee Bucks,2021-01-18,Planned,NBA,Planned
Memphis Grizzlies,Phoenix Suns,2021-01-18,Planned,NBA,Planned
Portland Trail Blazers,San Antonio Spurs,2021-01-18,Planned,NBA,Planned
Washington Wizards,Cleveland Cavaliers,2021-01-18,Planned,NBA,Planned
Atlanta Hawks,Minnesota Timberwolves,2021-01-18,Planned,NBA,Planned
Utah Jazz,New Orleans Pelicans,2021-01-19,Planned,NBA,Planned
Denver Nuggets,Oklahoma City Thunder,2021-01-19,Planned,NBA,Planned
Portland Trail Blazers,Memphis Grizzlies,2021-01-20,Planned,NBA,Planned
Charlotte Hornets,Washington Wizards,2021-01-20,Planned,NBA,Planned
Toronto Raptors,Miami Heat,2021-01-20,Planned,NBA,Planned
Los Angeles Clippers,Sacramento Kings,2021-01-20,Planned,NBA,Planned
Golden State Warriors,San Antonio Spurs,2021-01-20,Planned,NBA,Planned
Cleveland Cavaliers,Brooklyn Nets,2021-01-20,Planned,NBA,Planned
Houston Rockets,Phoenix Suns,2021-01-20,Planned,NBA,Planned
Indiana Pacers,Dallas Mavericks,2021-01-20,Planned,NBA,Planned
Philadelphia 76ers,Boston Celtics,2021-01-20,Planned,NBA,Planned
Atlanta Hawks,Detroit Pistons,2021-01-20,Planned,NBA,Planned
Minnesota Timberwolves,Orlando Magic,2021-01-20,Planned,NBA,Planned
Utah Jazz,New Orleans Pelicans,2021-01-21,Planned,NBA,Planned
Golden State Warriors,New York Knicks,2021-01-21,Planned,NBA,Planned
Milwaukee Bucks,Los Angeles Lakers,2021-01-21,Planned,NBA,Planned
Charlotte Hornets,Chicago Bulls,2021-01-22,Planned,NBA,Planned
Portland Trail Blazers,Memphis Grizzlies,2021-01-22,Planned,NBA,Planned
Philadelphia 76ers,Boston Celtics,2021-01-22,Planned,NBA,Planned
Detroit Pistons,Houston Rockets,2021-01-22,Planned,NBA,Planned
Indiana Pacers,Orlando Magic,2021-01-22,Planned,NBA,Planned
Sacramento Kings,New York Knicks,2021-01-22,Planned,NBA,Planned
Phoenix Suns,Denver Nuggets,2021-01-22,Planned,NBA,Planned
Los Angeles Clippers,Oklahoma City Thunder,2021-01-22,Planned,NBA,Planned
San Antonio Spurs,Dallas Mavericks,2021-01-22,Planned,NBA,Planned
Minnesota Timberwolves,Atlanta Hawks,2021-01-22,Planned,NBA,Planned
Toronto Raptors,Miami Heat,2021-01-22,Planned,NBA,Planned
Milwaukee Bucks,Washington Wizards,2021-01-22,Planned,NBA,Planned
Cleveland Cavaliers,Brooklyn Nets,2021-01-22,Planned,NBA,Planned
Detroit Pistons,Philadelphia 76ers,2021-01-23,Planned,NBA,Planned
Brooklyn Nets,Miami Heat,2021-01-23,Planned,NBA,Planned
Utah Jazz,Golden State Warriors,2021-01-23,Planned,NBA,Planned
Phoenix Suns,Denver Nuggets,2021-01-23,Planned,NBA,Planned
Dallas Mavericks,Houston Rockets,2021-01-23,Planned,NBA,Planned
Chicago Bulls,Los Angeles Lakers,2021-01-23,Planned,NBA,Planned
Minnesota Timberwolves,New Orleans Pelicans,2021-01-23,Planned,NBA,Planned
Memphis Grizzlies,Sacramento Kings,2021-01-24,Planned,NBA,Planned
Indiana Pacers,Toronto Raptors,2021-01-24,Planned,NBA,Planned
Los Angeles Clippers,Oklahoma City Thunder,2021-01-24,Planned,NBA,Planned
Orlando Magic,Charlotte Hornets,2021-01-24,Planned,NBA,Planned
Milwaukee Bucks,Atlanta Hawks,2021-01-24,Planned,NBA,Planned
San Antonio Spurs,Washington Wizards,2021-01-24,Planned,NBA,Planned
Portland Trail Blazers,New York Knicks,2021-01-24,Planned,NBA,Planned
Boston Celtics,Cleveland Cavaliers,2021-01-24,Planned,NBA,Planned
Detroit Pistons,Philadelphia 76ers,2021-01-25,Planned,NBA,Planned
New Orleans Pelicans,San Antonio Spurs,2021-01-25,Planned,NBA,Planned
Indiana Pacers,Toronto Raptors,2021-01-25,Planned,NBA,Planned
Dallas Mavericks,Denver Nuggets,2021-01-25,Planned,NBA,Planned
Brooklyn Nets,Miami Heat,2021-01-25,Planned,NBA,Planned
Memphis Grizzlies,Sacramento Kings,2021-01-25,Planned,NBA,Planned
Portland Trail Blazers,Oklahoma City Thunder,2021-01-25,Planned,NBA,Planned
Golden State Warriors,Minnesota Timberwolves,2021-01-25,Planned,NBA,Planned
Chicago Bulls,Boston Celtics,2021-01-25,Planned,NBA,Planned
Cleveland Cavaliers,Los Angeles Lakers,2021-01-25,Planned,NBA,Planned
Orlando Magic,Charlotte Hornets,2021-01-25,Planned,NBA,Planned
Utah Jazz,New York Knicks,2021-01-26,Planned,NBA,Planned
Houston Rockets,Washington Wizards,2021-01-26,Planned,NBA,Planned
Atlanta Hawks,Los Angeles Clippers,2021-01-26,Planned,NBA,Planned
Memphis Grizzlies,Chicago Bulls,2021-01-27,Planned,NBA,Planned
San Antonio Spurs,Boston Celtics,2021-01-27,Planned,NBA,Planned
Golden State Warriors,Minnesota Timberwolves,2021-01-27,Planned,NBA,Planned
Charlotte Hornets,Indiana Pacers,2021-01-27,Planned,NBA,Planned
Cleveland Cavaliers,Detroit Pistons,2021-01-27,Planned,NBA,Planned
Orlando Magic,Sacramento Kings,2021-01-27,Planned,NBA,Planned
Atlanta Hawks,Brooklyn Nets,2021-01-27,Planned,NBA,Planned
Miami Heat,Denver Nuggets,2021-01-27,Planned,NBA,Planned
Philadelphia 76ers,Los Angeles Lakers,2021-01-27,Planned,NBA,Planned
Toronto Raptors,Milwaukee Bucks,2021-01-27,Planned,NBA,Planned
New Orleans Pelicans,Washington Wizards,2021-01-27,Planned,NBA,Planned
Utah Jazz,Dallas Mavericks,2021-01-27,Planned,NBA,Planned
Phoenix Suns,Oklahoma City Thunder,2021-01-27,Planned,NBA,Planned
Phoenix Suns,Golden State Warriors,2021-01-28,Planned,NBA,Planned
Miami Heat,Los Angeles Clippers,2021-01-28,Planned,NBA,Planned
Detroit Pistons,Los Angeles Lakers,2021-01-28,Planned,NBA,Planned
Houston Rockets,Portland Trail Blazers,2021-01-28,Planned,NBA,Planned
Orlando Magic,Los Angeles Clippers,2021-01-29,Planned,NBA,Planned
Charlotte Hornets,Indiana Pacers,2021-01-29,Planned,NBA,Planned
Washington Wizards,Atlanta Hawks,2021-01-29,Planned,NBA,Planned
New Orleans Pelicans,Milwaukee Bucks,2021-01-29,Planned,NBA,Planned
New York Knicks,Cleveland Cavaliers,2021-01-29,Planned,NBA,Planned
Minnesota Timberwolves,Philadelphia 76ers,2021-01-29,Planned,NBA,Planned
Utah Jazz,Dallas Mavericks,2021-01-29,Planned,NBA,Planned
San Antonio Spurs,Denver Nuggets,2021-01-29,Planned,NBA,Planned
Oklahoma City Thunder,Brooklyn Nets,2021-01-29,Planned,NBA,Planned
Toronto Raptors,Sacramento Kings,2021-01-29,Planned,NBA,Planned
Golden State Warriors,Detroit Pistons,2021-01-30,Planned,NBA,Planned
Chicago Bulls,Portland Trail Blazers,2021-01-30,Planned,NBA,Planned
Charlotte Hornets,Milwaukee Bucks,2021-01-30,Planned,NBA,Planned
Miami Heat,Sacramento Kings,2021-01-30,Planned,NBA,Planned
New Orleans Pelicans,Houston Rockets,2021-01-30,Planned,NBA,Planned
Boston Celtics,Los Angeles Lakers,2021-01-30,Planned,NBA,Planned
San Antonio Spurs,Memphis Grizzlies,2021-01-30,Planned,NBA,Planned
Dallas Mavericks,Phoenix Suns,2021-01-30,Planned,NBA,Planned
Denver Nuggets,Utah Jazz,2021-01-31,Planned,NBA,Planned
Minnesota Timberwolves,Cleveland Cavaliers,2021-01-31,Planned,NBA,Planned
