Schedule Type,League,Max_games_1_home,Max_games_1_away,Max_games_1_all,Max_games_2_home,Max_games_2_away,Max_games_2_all,Max_games_3_home,Max_games_3_away,Max_games_3_all,Max_games_4_home,Max_games_4_away,Max_games_4_all,Max_games_5_home,Max_games_5_away,Max_games_5_all,Max_games_6_home,Max_games_6_away,Max_games_6_all,Max_games_7_home,Max_games_7_away,Max_games_7_all
basic - high - basic - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - basic - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - 25_more_games - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - 25_more_games - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
basic - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - basic - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - basic - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - basic - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 15_more_games - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 15_more_games - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 25_more_games - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 25_more_games - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 25_more_games - post_all_star - 3,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 15_games_in_march - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
min_date - high - 15_games_in_march - post_all_star - 0,NBA,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5
